snapshot_date,warehouse_id,product_id,on_hand_qty,on_order_qty,backlog_qty,available_qty,unit_cost_vnd,inventory_value_vnd,stockout_flag,reorder_point_qty,safety_stock_qty
2025-01-01,WH01,P001,128,0,0,128,469000.0,60032000.0,0,88,22
2025-01-01,WH01,P002,93,0,0,93,321000.0,29853000.0,0,49,12
2025-01-01,WH01,P003,79,0,0,79,316000.0,24964000.0,0,52,13
2025-01-01,WH01,P004,60,0,0,60,467000.0,28020000.0,0,41,10
2025-01-01,WH01,P005,38,0,0,38,461000.0,17518000.0,0,28,7
2025-01-01,WH01,P006,74,0,0,74,442000.0,32708000.0,0,43,11
2025-01-01,WH01,P007,41,0,0,41,125000.0,5125000.0,0,23,6
2025-01-01,WH01,P008,32,0,0,32,260000.0,8320000.0,0,20,5
2025-01-01,WH01,P009,27,0,0,27,185000.0,4995000.0,0,19,5
2025-01-01,WH01,P010,30,0,0,30,258000.0,7740000.0,0,20,5
2025-01-01,WH01,P011,48,0,0,48,211000.0,10128000.0,0,28,7
2025-01-01,WH01,P012,26,0,0,26,262000.0,6812000.0,0,20,5
2025-01-01,WH01,P013,12,0,0,12,252000.0,3024000.0,0,10,3
2025-01-01,WH01,P014,15,0,0,15,297000.0,4455000.0,0,10,3
2025-01-01,WH01,P015,9,0,0,9,92000.0,828000.0,0,7,2
2025-01-01,WH01,P016,18,0,0,18,414000.0,7452000.0,0,11,3
2025-01-01,WH01,P017,47,0,0,47,144000.0,6768000.0,0,25,6
2025-01-01,WH01,P018,44,0,0,44,228000.0,10032000.0,0,24,6
2025-01-01,WH01,P019,8,0,0,8,212000.0,1696000.0,0,5,1
2025-01-01,WH01,P020,22,0,0,22,268000.0,5896000.0,0,19,5
2025-01-01,WH01,P021,28,0,0,28,96000.0,2688000.0,0,21,5
2025-01-01,WH01,P022,2,4,0,2,1716000.0,3432000.0,0,3,1
2025-01-01,WH01,P023,2,5,0,2,2662000.0,5324000.0,0,4,1
2025-01-01,WH01,P024,2,8,0,2,3595000.0,7190000.0,0,6,2
2025-01-01,WH01,P025,1,3,0,1,3664000.0,3664000.0,0,3,1
2025-01-01,WH01,P026,2,4,0,2,3907000.0,7814000.0,0,4,1
2025-01-01,WH01,P027,2,4,0,2,3006000.0,6012000.0,0,4,1
2025-01-01,WH01,P028,6,0,0,6,4144000.0,24864000.0,0,2,1
2025-01-01,WH01,P029,13,0,0,13,14327000.0,186251000.0,0,2,1
2025-01-01,WH01,P030,14,0,0,14,8143000.0,114002000.0,0,2,1
2025-01-01,WH01,P031,13,0,0,13,15782000.0,205166000.0,0,2,1
2025-01-01,WH01,P032,11,0,0,11,14984000.0,164824000.0,0,2,1
2025-01-02,WH01,P001,128,0,0,128,469000.0,60032000.0,0,88,22
2025-01-02,WH01,P002,93,0,0,93,321000.0,29853000.0,0,49,12
2025-01-02,WH01,P003,79,0,0,79,316000.0,24964000.0,0,52,13
2025-01-02,WH01,P004,60,0,0,60,467000.0,28020000.0,0,41,10
2025-01-02,WH01,P005,38,0,0,38,461000.0,17518000.0,0,28,7
2025-01-02,WH01,P006,74,0,0,74,442000.0,32708000.0,0,43,11
2025-01-02,WH01,P007,41,0,0,41,125000.0,5125000.0,0,23,6
2025-01-02,WH01,P008,32,0,0,32,260000.0,8320000.0,0,20,5
2025-01-02,WH01,P009,27,0,0,27,185000.0,4995000.0,0,19,5
2025-01-02,WH01,P010,30,0,0,30,258000.0,7740000.0,0,20,5
2025-01-02,WH01,P011,48,0,0,48,211000.0,10128000.0,0,28,7
2025-01-02,WH01,P012,26,0,0,26,262000.0,6812000.0,0,20,5
2025-01-02,WH01,P013,12,0,0,12,252000.0,3024000.0,0,10,3
2025-01-02,WH01,P014,15,0,0,15,297000.0,4455000.0,0,10,3
2025-01-02,WH01,P015,9,0,0,9,92000.0,828000.0,0,7,2
2025-01-02,WH01,P016,18,0,0,18,414000.0,7452000.0,0,11,3
2025-01-02,WH01,P017,47,0,0,47,144000.0,6768000.0,0,25,6
2025-01-02,WH01,P018,44,0,0,44,228000.0,10032000.0,0,24,6
2025-01-02,WH01,P019,8,0,0,8,212000.0,1696000.0,0,5,1
2025-01-02,WH01,P020,22,0,0,22,268000.0,5896000.0,0,19,5
2025-01-02,WH01,P021,28,0,0,28,96000.0,2688000.0,0,21,5
2025-01-02,WH01,P022,2,4,0,2,1716000.0,3432000.0,0,3,1
