inventory_move_id,movement_date,warehouse_id,product_id,movement_type,quantity_signed,unit_cost_vnd,reference_document,reference_line,batch_no,expiry_date
IM00000001,2025-01-01,WH01,P001,Opening Balance,128,469000.0,OPENING,,,
IM00000002,2025-01-01,WH01,P002,Opening Balance,93,321000.0,OPENING,,,
IM00000003,2025-01-01,WH01,P003,Opening Balance,79,316000.0,OPENING,,,
IM00000004,2025-01-01,WH01,P004,Opening Balance,60,467000.0,OPENING,,,
IM00000005,2025-01-01,WH01,P005,Opening Balance,38,461000.0,OPENING,,,
IM00000006,2025-01-01,WH01,P006,Opening Balance,74,442000.0,OPENING,,,
IM00000007,2025-01-01,WH01,P007,Opening Balance,41,125000.0,OPENING,,,
IM00000008,2025-01-01,WH01,P008,Opening Balance,32,260000.0,OPENING,,,
IM00000009,2025-01-01,WH01,P009,Opening Balance,27,185000.0,OPENING,,,
IM00000010,2025-01-01,WH01,P010,Opening Balance,30,258000.0,OPENING,,,
IM00000011,2025-01-01,WH01,P011,Opening Balance,48,211000.0,OPENING,,,
IM00000012,2025-01-01,WH01,P012,Opening Balance,26,262000.0,OPENING,,,
IM00000013,2025-01-01,WH01,P013,Opening Balance,12,252000.0,OPENING,,,
IM00000014,2025-01-01,WH01,P014,Opening Balance,15,297000.0,OPENING,,,
IM00000015,2025-01-01,WH01,P015,Opening Balance,9,92000.0,OPENING,,,
IM00000016,2025-01-01,WH01,P016,Opening Balance,18,414000.0,OPENING,,,
IM00000017,2025-01-01,WH01,P017,Opening Balance,47,144000.0,OPENING,,,
IM00000018,2025-01-01,WH01,P018,Opening Balance,44,228000.0,OPENING,,,
IM00000019,2025-01-01,WH01,P019,Opening Balance,8,212000.0,OPENING,,,
IM00000020,2025-01-01,WH01,P020,Opening Balance,22,268000.0,OPENING,,,
IM00000021,2025-01-01,WH01,P021,Opening Balance,28,96000.0,OPENING,,,
IM00000022,2025-01-01,WH01,P022,Opening Balance,2,1716000.0,OPENING,,,
IM00000023,2025-01-01,WH01,P023,Opening Balance,2,2662000.0,OPENING,,,
IM00000024,2025-01-01,WH01,P024,Opening Balance,2,3595000.0,OPENING,,,
IM00000025,2025-01-01,WH01,P025,Opening Balance,1,3664000.0,OPENING,,,
IM00000026,2025-01-01,WH01,P026,Opening Balance,2,3907000.0,OPENING,,,
IM00000027,2025-01-01,WH01,P027,Opening Balance,2,3006000.0,OPENING,,,
IM00000028,2025-01-01,WH01,P028,Opening Balance,6,4144000.0,OPENING,,,
IM00000029,2025-01-01,WH01,P029,Opening Balance,13,14327000.0,OPENING,,,
IM00000030,2025-01-01,WH01,P030,Opening Balance,14,8143000.0,OPENING,,,
IM00000031,2025-01-01,WH01,P031,Opening Balance,13,15782000.0,OPENING,,,
IM00000032,2025-01-01,WH01,P032,Opening Balance,11,14984000.0,OPENING,,,
IM00000033,2025-01-29,WH01,P022,PO Receipt,4,1660235.1380238,PO000001,POL0000001,B2501002,2028-01-29
IM00000034,2025-02-07,WH01,P003,Cycle Count Adjustment,-2,316000.0,ADJ,,,
IM00000035,2025-02-12,WH01,P025,PO Receipt,3,3622002.4089249,PO000004,POL0000004,B2501005,2028-02-12
IM00000036,2025-02-12,WH01,P026,PO Receipt,4,4165639.20031935,PO000005,POL0000005,B2501006,2028-02-12
IM00000037,2025-02-14,WH01,P023,PO Receipt,5,2343785.00202015,PO000002,POL0000002,B2501003,2028-02-14
IM00000038,2025-02-14,WH01,P023,QA Rejection,-1,2343785.00202015,PO000002,POL0000002,B2501003,
IM00000039,2025-02-15,WH01,P024,PO Receipt,8,3374464.8768772497,PO000003,POL0000003,B2501004,2028-02-15
IM00000040,2025-02-16,WH01,P027,PO Receipt,4,3068109.4745886,PO000006,POL0000006,B2501007,2028-02-16
IM00000041,2025-02-16,WH01,P027,QA Rejection,-1,3068109.4745886,PO000006,POL0000006,B2501007,
IM00000042,2025-02-23,WH01,P002,Sales Issue,-6,324800.0,SO000001,SOL0000002,,
