product_id,effective_from,effective_to,reorder_point_qty,safety_stock_qty,target_service_level,annual_holding_rate_pct
P001,2025-01-01,,88,22,0.94,0.22
P002,2025-01-01,,49,12,0.94,0.22
P003,2025-01-01,,52,13,0.94,0.22
P004,2025-01-01,,41,10,0.94,0.22
P005,2025-01-01,,28,7,0.94,0.22
P006,2025-01-01,,43,11,0.94,0.22
P007,2025-01-01,,23,6,0.94,0.22
P008,2025-01-01,,20,5,0.94,0.22
P009,2025-01-01,,19,5,0.94,0.22
P010,2025-01-01,,20,5,0.94,0.22
P011,2025-01-01,,28,7,0.94,0.22
P012,2025-01-01,,20,5,0.94,0.22
P013,2025-01-01,,10,3,0.94,0.22
P014,2025-01-01,,10,3,0.94,0.22
P015,2025-01-01,,7,2,0.94,0.22
P016,2025-01-01,,11,3,0.94,0.22
P017,2025-01-01,,25,6,0.94,0.22
P018,2025-01-01,,24,6,0.94,0.22
P019,2025-01-01,,5,1,0.94,0.22
P020,2025-01-01,,19,5,0.94,0.22
P021,2025-01-01,,21,5,0.94,0.22
P022,2025-01-01,2026-04-30,3,1,0.9,0.22
P022,2026-05-01,,6,3,0.97,0.22
P023,2025-01-01,2026-04-30,4,1,0.9,0.22
P023,2026-05-01,,7,3,0.97,0.22
P024,2025-01-01,2026-04-30,6,2,0.9,0.22
P024,2026-05-01,,10,4,0.97,0.22
P025,2025-01-01,2026-04-30,3,1,0.9,0.22
P025,2026-05-01,,5,2,0.97,0.22
P026,2025-01-01,2026-04-30,4,1,0.9,0.22
P026,2026-05-01,,8,4,0.97,0.22
P027,2025-01-01,2026-04-30,4,1,0.9,0.22
P027,2026-05-01,,7,3,0.97,0.22
P028,2025-01-01,,2,1,0.94,0.22
P029,2025-01-01,,2,1,0.94,0.22
P030,2025-01-01,,2,1,0.94,0.22
P031,2025-01-01,,2,1,0.94,0.22
P032,2025-01-01,,2,1,0.94,0.22
