purchase_order_line_id,purchase_order_id,product_id,quantity_ordered,unit_price_local,currency,fx_rate_to_vnd,merchandise_value_vnd,freight_cost_vnd,customs_cost_vnd,expedite_cost_vnd,supplier_role,contract_lead_time_days
POL0000001,PO000001,P022,4,65.0908,USD,25506.4485,6641000.0,10000.0,57000.0,0.0,Backup,22
POL0000002,PO000002,P023,5,91.8899,USD,25506.4485,11719000.0,32000.0,130000.0,0.0,Primary,43
POL0000003,PO000003,P024,8,132.2985,USD,25506.4485,26996000.0,11000.0,655000.0,0.0,Primary,45
POL0000004,PO000004,P025,3,142.0034,USD,25506.4485,10866000.0,20000.0,216000.0,0.0,Primary,42
POL0000005,PO000005,P026,4,163.3171,USD,25506.4485,16663000.0,23000.0,151000.0,0.0,Primary,42
POL0000006,PO000006,P027,4,120.2876,USD,25506.4485,12272000.0,6000.0,202000.0,0.0,Primary,46
POL0000007,PO000007,P005,16,452628.4706,VND,1.0,7242000.0,66000.0,0.0,0.0,Primary,5
POL0000008,PO000008,P002,48,11.8239,USD,25686.0669,14578000.0,311000.0,343000.0,0.0,Primary,25
POL0000009,PO000009,P024,20,132.2985,USD,25680.4319,67950000.0,43000.0,1559000.0,0.0,Primary,45
POL0000010,PO000010,P001,36,466161.0407,VND,1.0,16782000.0,116000.0,0.0,0.0,Primary,6
POL0000011,PO000011,P003,25,337566.0564,VND,1.0,8439000.0,34000.0,0.0,0.0,Primary,12
POL0000012,PO000012,P022,8,62.1467,USD,25667.1629,12761000.0,20000.0,344000.0,172000.0,Primary,45
POL0000013,PO000013,P004,45,85.527,MYR,5905.7919,22730000.0,172000.0,340000.0,0.0,Primary,21
POL0000014,PO000014,P002,32,11.8239,USD,25571.3681,9675000.0,51000.0,279000.0,0.0,Primary,25
POL0000015,PO000015,P011,112,190590.2643,VND,1.0,21346000.0,233000.0,0.0,760000.0,Primary,11
POL0000016,PO000016,P001,93,466161.0407,VND,1.0,43353000.0,85000.0,0.0,0.0,Primary,6
POL0000017,PO000017,P007,24,4.3935,USD,25639.1593,2703000.0,84000.0,24000.0,0.0,Primary,22
POL0000018,PO000018,P019,15,228882.4689,VND,1.0,3433000.0,45000.0,0.0,60000.0,Backup,10
POL0000019,PO000019,P005,8,452628.4706,VND,1.0,3621000.0,25000.0,0.0,0.0,Primary,5
POL0000020,PO000020,P004,105,85.527,MYR,5806.7617,52147000.0,445000.0,42000.0,0.0,Primary,21
POL0000021,PO000021,P001,57,18.7059,USD,25558.4329,27251000.0,181000.0,238000.0,0.0,Backup,20
POL0000022,PO000022,P001,48,466161.0407,VND,1.0,22376000.0,137000.0,0.0,0.0,Primary,6
POL0000023,PO000023,P018,42,243589.7772,VND,1.0,10231000.0,143000.0,0.0,0.0,Backup,8
POL0000024,PO000024,P003,50,337566.0564,VND,1.0,16878000.0,134000.0,0.0,0.0,Primary,12
POL0000025,PO000025,P004,24,85.527,MYR,5800.772,11907000.0,45000.0,219000.0,141000.0,Primary,21
POL0000026,PO000026,P013,65,257003.2907,VND,1.0,16705000.0,111000.0,0.0,391000.0,Backup,11
POL0000027,PO000027,P014,30,266969.5427,VND,1.0,8009000.0,102000.0,0.0,0.0,Primary,11
POL0000028,PO000028,P015,12,96292.983,VND,1.0,1156000.0,42000.0,0.0,0.0,Primary,11
POL0000029,PO000029,P016,32,367323.9212,VND,1.0,11754000.0,132000.0,0.0,0.0,Backup,10
POL0000030,PO000030,P003,15,337566.0564,VND,1.0,5063000.0,43000.0,0.0,0.0,Primary,12
POL0000031,PO000031,P001,72,466161.0407,VND,1.0,33564000.0,290000.0,0.0,603000.0,Primary,6
POL0000032,PO000032,P002,56,11.8239,USD,25498.4391,16883000.0,115000.0,584000.0,0.0,Primary,25
POL0000033,PO000033,P005,24,452628.4706,VND,1.0,10863000.0,71000.0,0.0,0.0,Primary,5
POL0000034,PO000034,P002,40,11.8239,USD,25496.4534,12059000.0,215000.0,269000.0,554000.0,Primary,25
POL0000035,PO000035,P006,19,458389.7415,VND,1.0,8709000.0,19000.0,0.0,0.0,Primary,8
POL0000036,PO000036,P003,25,337566.0564,VND,1.0,8439000.0,39000.0,0.0,0.0,Primary,12
POL0000037,PO000037,P005,16,452628.4706,VND,1.0,7242000.0,57000.0,0.0,0.0,Primary,5
POL0000038,PO000038,P023,10,91.8899,USD,25496.5529,23429000.0,29000.0,226000.0,438000.0,Primary,43
POL0000039,PO000039,P004,33,85.527,MYR,5789.6867,16341000.0,81000.0,302000.0,0.0,Primary,21
POL0000040,PO000040,P007,52,4.3935,USD,25404.3295,5804000.0,278000.0,143000.0,0.0,Primary,22
POL0000041,PO000041,P011,152,190590.2643,VND,1.0,28970000.0,626000.0,0.0,0.0,Primary,11
POL0000042,PO000042,P017,28,140324.5042,VND,1.0,3929000.0,91000.0,0.0,0.0,Primary,8
POL0000043,PO000043,P018,56,8.6463,USD,25421.3738,12309000.0,252000.0,374000.0,0.0,Primary,29
POL0000044,PO000044,P021,180,3.3353,USD,25421.3738,15262000.0,719000.0,125000.0,462000.0,Primary,27
