purchase_order_id,po_date,supplier_id,buyer_id,expected_receipt_date,actual_receipt_date,currency,fx_rate_to_vnd,payment_term,incoterm,po_status
PO000001,2025-01-01,S008,E201,2025-01-23,2025-01-29,USD,25506.4485,Net 45,CIF,Received
PO000002,2025-01-01,S007,E201,2025-02-13,2025-02-14,USD,25506.4485,30% Deposit,FOB,Received
PO000003,2025-01-01,S007,E201,2025-02-15,2025-02-15,USD,25506.4485,30% Deposit,FOB,Received
PO000004,2025-01-01,S007,E201,2025-02-12,2025-02-12,USD,25506.4485,30% Deposit,FOB,Received
PO000005,2025-01-01,S007,E201,2025-02-12,2025-02-12,USD,25506.4485,30% Deposit,FOB,Received
PO000006,2025-01-01,S007,E201,2025-02-16,2025-02-16,USD,25506.4485,30% Deposit,FOB,Received
PO000007,2025-02-23,S003,E201,2025-02-28,2025-02-28,VND,1.0,Net 30,DAP,Received
PO000008,2025-03-13,S002,E201,2025-04-07,2025-04-07,USD,25686.0669,Net 45,CIF,Received
PO000009,2025-03-15,S007,E201,2025-04-29,2025-05-10,USD,25680.4319,30% Deposit,FOB,Received
PO000010,2025-03-23,S003,E201,2025-03-29,2025-03-29,VND,1.0,Net 30,DAP,Received
PO000011,2025-04-01,S003,E201,2025-04-13,2025-04-15,VND,1.0,Net 30,DAP,Received
PO000012,2025-04-09,S007,E201,2025-05-24,2025-05-24,USD,25667.1629,30% Deposit,FOB,Received
PO000013,2025-04-14,S001,E201,2025-05-05,2025-05-05,MYR,5905.7919,Net 30,CIF,Received
PO000014,2025-04-20,S002,E201,2025-05-15,2025-05-15,USD,25571.3681,Net 45,CIF,Received
PO000015,2025-04-28,S003,E201,2025-05-09,2025-05-09,VND,1.0,Net 30,DAP,Received
PO000016,2025-05-07,S003,E201,2025-05-13,2025-05-13,VND,1.0,Net 30,DAP,Received
PO000017,2025-05-30,S015,E201,2025-06-21,2025-06-21,USD,25639.1593,Net 30,CIF,Received
PO000018,2025-06-04,S016,E201,2025-06-14,2025-06-15,VND,1.0,COD,DAP,Received
PO000019,2025-06-06,S003,E201,2025-06-11,2025-06-11,VND,1.0,Net 30,DAP,Received
PO000020,2025-06-07,S001,E201,2025-06-28,2025-06-28,MYR,5806.7617,Net 30,CIF,Received
PO000021,2025-06-09,S002,E201,2025-06-29,2025-07-02,USD,25558.4329,Net 45,CIF,Received
PO000022,2025-06-11,S003,E201,2025-06-17,2025-06-17,VND,1.0,Net 30,DAP,Received
PO000023,2025-06-11,S016,E201,2025-06-19,2025-06-19,VND,1.0,COD,DAP,Received
PO000024,2025-06-12,S003,E201,2025-06-24,2025-06-25,VND,1.0,Net 30,DAP,Received
PO000025,2025-06-12,S001,E201,2025-07-03,2025-07-04,MYR,5800.772,Net 30,CIF,Received
PO000026,2025-06-17,S004,E201,2025-06-28,2025-06-30,VND,1.0,Net 30,DAP,Received
PO000027,2025-06-17,S014,E201,2025-06-28,2025-06-29,VND,1.0,Net 30,DAP,Received
PO000028,2025-06-17,S014,E201,2025-06-28,2025-06-28,VND,1.0,Net 30,DAP,Received
PO000029,2025-06-17,S004,E201,2025-06-27,2025-06-27,VND,1.0,Net 30,DAP,Received
PO000030,2025-06-20,S003,E201,2025-07-02,2025-07-02,VND,1.0,Net 30,DAP,Received
PO000031,2025-06-22,S003,E201,2025-06-28,2025-06-30,VND,1.0,Net 30,DAP,Received
PO000032,2025-06-22,S002,E201,2025-07-17,2025-07-19,USD,25498.4391,Net 45,CIF,Received
PO000033,2025-06-22,S003,E201,2025-06-27,2025-06-28,VND,1.0,Net 30,DAP,Received
PO000034,2025-06-24,S002,E201,2025-07-19,2025-07-19,USD,25496.4534,Net 45,CIF,Received
PO000035,2025-06-24,S003,E201,2025-07-02,2025-07-04,VND,1.0,Net 30,DAP,Received
PO000036,2025-06-25,S003,E201,2025-07-07,2025-07-09,VND,1.0,Net 30,DAP,Received
PO000037,2025-06-25,S003,E201,2025-06-30,2025-06-30,VND,1.0,Net 30,DAP,Received
PO000038,2025-06-26,S007,E201,2025-08-08,2025-08-08,USD,25496.5529,30% Deposit,FOB,Received
PO000039,2025-06-28,S001,E201,2025-07-19,2025-08-01,MYR,5789.6867,Net 30,CIF,Received
PO000040,2025-07-01,S015,E201,2025-07-23,2025-07-23,USD,25404.3295,Net 30,CIF,Received
PO000041,2025-07-01,S003,E201,2025-07-12,2025-07-12,VND,1.0,Net 30,DAP,Received
PO000042,2025-07-02,S016,E201,2025-07-10,2025-07-27,VND,1.0,COD,DAP,Received
PO000043,2025-07-02,S006,E201,2025-07-31,2025-07-31,USD,25421.3738,Net 30,FOB,Received
PO000044,2025-07-02,S006,E201,2025-07-29,2025-07-30,USD,25421.3738,Net 30,FOB,Received
PO000045,2025-07-07,S007,E201,2025-08-18,2025-08-22,USD,25363.5936,30% Deposit,FOB,Received
PO000046,07-19-2025,S006,E201,2025-08-17,2025-08-17,USD,25277.062,Net 30,FOB,Received
PO000047,2025-07-20,S005,E201,08-21-2025,2025-08-21,USD,25285.0373,50% Deposit,EXW,Received
PO000048,2025-07-28,S014,E201,2025-08-08,2025-08-08,VND,1.0,Net 30,DAP,Received
PO000049,2025-07-28,S007,E201,2025-09-09,2025-09-12,USD,25285.0714,30% Deposit,FOB,Received
PO000050,2025-07-28,S007,E201,2025-09-11,2025-09-11,USD,25285.0714,30% Deposit,FOB,Received
PO000051,2025-08-02,S015,E201,2025-08-20,2025-08-20,USD,25274.2681,Net 30,CIF,Received
PO000052,2025-08-02,S003,E201,2025-08-13,2025-08-14,VND,1.0,Net 30,DAP,Received
PO000053,2025-08-03,S003,E201,2025-08-09,2025-08-09,VND,1.0,Net 30,DAP,Received
PO000054,2025-08-05,S007,E201,2025-09-16,2025-09-16,USD,25272.9041,30% Deposit,FOB,Received
PO000055,2025-08-06,S003,E201,2025-08-11,2025-08-14,VND,1.0,Net 30,DAP,Received
PO000056,2025-08-06,S003,E201,2025-08-14,2025-08-19,VND,1.0,Net 30,DAP,Received
PO000057,2025-08-11,S015,E201,2025-08-29,2025-08-29,USD,25200.3801,Net 30,CIF,Received
PO000058,2025-08-11,S007,E201,2025-09-23,2025-10-04,USD,25200.3801,30% Deposit,FOB,Received
PO000059,2025-08-11,S007,E201,2025-09-26,2025-09-26,USD,25200.3801,30% Deposit,FOB,Received
PO000060,2025-08-12,S013,E201,2025-09-19,2025-09-21,USD,25193.3184,30% Deposit,FOB,Received
PO000061,2025-08-14,S008,E201,2025-09-07,2025-09-11,USD,25200.2623,Net 45,CIF,Received
PO000062,2025-08-15,S007,E201,2025-09-29,2025-10-09,USD,25212.1399,30% Deposit,FOB,Received
PO000063,2025-08-20,S003,E201,2025-08-26,2025-08-28,VND,1.0,Net 30,DAP,Received
PO000064,2025-08-20,S013,E201,2025-09-25,2025-09-28,USD,25255.7805,30% Deposit,FOB,Received
PO000065,2025-08-20,S015,E201,2025-09-07,2025-09-07,USD,25255.7805,Net 30,CIF,Received
PO000066,2025-08-20,S003,E201,2025-08-31,2025-08-31,VND,1.0,Net 30,DAP,Received
PO000067,2025-08-21,S013,E201,2025-09-26,2025-09-26,USD,25259.7934,30% Deposit,FOB,Received
PO000068,2025-09-10,S003,E201,2025-09-15,2025-09-15,VND,1.0,Net 30,DAP,Received
PO000069,2025-09-11,S001,E201,2025-10-02,2025-10-03,MYR,5698.1842,Net 30,CIF,Received
PO000070,2025-09-14,S013,E201,2025-10-22,2025-10-24,USD,24998.6255,30% Deposit,FOB,Received
PO000071,2025-09-24,S001,E201,2025-10-15,2025-10-15,MYR,5698.4487,Net 30,CIF,Received
PO000072,2025-09-25,S003,E201,2025-10-07,2025-10-08,VND,1.0,Net 30,DAP,Received
PO000073,2025-10-06,S002,E201,2025-10-26,2025-10-26,USD,25023.9613,Net 45,CIF,Received
PO000074,2025-10-06,S014,E201,2025-10-14,2025-10-14,VND,1.0,Net 30,DAP,Received
PO000075,2025-10-06,S004,E201,2025-10-20,2025-10-26,VND,1.0,Net 30,DAP,Received
PO000076,10-07-2025,S003,E201,2025-10-15,2025-10-17,VND,1.0,Net 30,DAP,Received
PO000077,2025-10-07,S004,E201,2025-10-17,2025-10-17,VND,1.0,Net 30,DAP,Received
PO000078,2025-10-07,S014,E201,2025-10-15,2025-10-15,VND,1.0,Net 30,DAP,Received
PO000079,2025-10-11,S002,E201,2025-11-03,2025-11-04,USD,25019.2633,Net 45,CIF,Received
PO000080,2025-10-11,S003,E201,2025-10-17,2025-10-17,VND,1.0,Net 30,DAP,Received
PO000081,2025-10-17,S007,E201,2025-12-01,2025-12-01,USD,25034.9663,30% Deposit,FOB,Received
PO000082,2025-10-18,S007,E201,2025-12-02,2025-12-07,USD,25054.3883,30% Deposit,FOB,Received
PO000083,2025-10-18,S007,E201,2025-12-01,2025-12-02,USD,25054.3883,30% Deposit,FOB,Received
PO000084,2025-10-18,S007,E201,2025-12-01,2025-12-02,USD,25054.3883,30% Deposit,FOB,Received
PO000085,2025-10-18,S007,E201,2025-11-26,2025-11-29,USD,25054.3883,30% Deposit,FOB,Received
PO000086,2025-10-20,S001,E201,2025-11-15,2025-11-15,MYR,5673.7212,Net 30,CIF,Received
PO000087,2025-10-21,S002,E201,2025-11-10,2025-11-11,USD,25055.6432,Net 45,CIF,Received
PO000088,2025-10-21,S003,E201,2025-10-30,2025-10-30,VND,1.0,Net 30,DAP,Received
PO000089,2025-10-24,S015,E201,2025-11-15,2025-11-15,USD,25042.9661,Net 30,CIF,Received
PO000090,2025-10-29,S007,E201,2025-12-08,2025-12-19,USD,25130.4555,30% Deposit,FOB,Received
PO000091,2025-11-03,S014,E201,2025-11-14,2025-11-14,VND,1.0,Net 30,DAP,Received
PO000092,2025-11-03,S014,E201,2025-11-11,2025-11-11,VND,1.0,Net 30,DAP,Received
PO000093,2025-11-04,S014,E201,2025-11-15,2025-12-01,VND,1.0,Net 30,DAP,Received
PO000094,2025-11-06,S003,E201,2025-11-14,2025-11-14,VND,1.0,Net 30,DAP,Received
PO000095,2025-11-07,S003,E201,2025-11-16,2025-11-17,VND,1.0,Net 30,DAP,Received
PO000096,2025-11-07,S001,E201,2025-12-05,2025-12-05,MYR,5664.8421,Net 30,CIF,Received
PO000097,2025-11-15,S003,E201,2025-11-23,2025-11-24,VND,1.0,Net 30,DAP,Received
PO000098,2025-11-16,S003,E201,2025-11-25,2025-11-25,VND,1.0,Net 30,DAP,Received
PO000099,2025-11-19,S015,E201,2025-12-11,2025-12-11,USD,25099.2112,Net 30,CIF,Received
PO000100,2025-11-20,S003,E201,2025-11-29,2025-12-02,VND,1.0,Net 30,DAP,Received
PO000101,2025-11-25,S003,E201,2025-12-03,2025-12-03,VND,1.0,Net 30,DAP,Received
PO000102,2025-11-26,S003,E201,2025-12-08,2025-12-14,VND,1.0,Net 30,DAP,Received
PO000103,2025-11-29,S003,E201,2025-12-05,2025-12-05,VND,1.0,Net 30,DAP,Received
PO000104,2025-11-30,S002,E201,2025-12-23,2025-12-23,USD,25180.0483,Net 45,CIF,Received
PO000105,2025-11-30,S002,E201,2025-12-20,2025-12-23,USD,25180.0483,Net 45,CIF,Received
PO000106,2025-11-30,S003,E201,2025-12-09,2025-12-13,VND,1.0,Net 30,DAP,Received
PO000107,2025-12-01,S007,E201,2026-01-15,2026-01-31,USD,25135.4637,30% Deposit,FOB,Received
PO000108,2025-12-05,S003,E201,2025-12-11,2025-12-11,VND,1.0,Net 30,DAP,Received
PO000109,2025-12-09,S004,E201,2025-12-25,2025-12-25,VND,1.0,Net 30,DAP,Received
PO000110,2025-12-09,S004,E201,2025-12-23,2025-12-31,VND,1.0,Net 30,DAP,Received
PO000111,2025-12-12,S001,E201,2026-01-05,2026-01-05,MYR,5698.9044,Net 30,CIF,Received
PO000112,2025-12-14,S003,E201,2025-12-22,2025-12-22,VND,1.0,Net 30,DAP,Received
PO000113,2025-12-18,S003,E201,2025-12-26,2025-12-26,VND,1.0,Net 30,DAP,Received
PO000114,2025-12-21,S007,E201,01-30-2026,2026-01-30,USD,25093.1108,30% Deposit,FOB,Received
PO000115,2025-12-26,S001,E201,2026-01-19,2026-01-19,MYR,5733.0759,Net 30,CIF,Received
PO000116,2025-12-26,S016,E201,2026-01-05,2026-01-05,VND,1.0,COD,DAP,Received
PO000117,2025-12-26,S005,E201,2026-02-02,2026-02-02,USD,25105.606,50% Deposit,EXW,Received
PO000118,2025-12-30,S016,E201,2026-01-09,2026-01-11,VND,1.0,COD,DAP,Received
PO000119,2025-12-31,S006,E201,2026-02-01,2026-02-01,USD,25128.4001,Net 30,FOB,Received
PO000120,2026-01-02,S003,E201,2026-01-13,2026-01-13,VND,1.0,Net 30,DAP,Received
PO000121,2026-01-03,S014,E201,2026-01-14,2026-01-14,VND,1.0,Net 30,DAP,Received
PO000122,2026-01-04,S016,E201,2026-01-08,2026-01-08,VND,1.0,COD,DAP,Received
PO000123,2026-01-05,S001,E201,2026-01-29,2026-01-29,MYR,5772.2003,Net 30,CIF,Received
PO000124,2026-01-06,S002,E201,2026-01-29,2026-01-29,USD,25205.2348,Net 45,CIF,Received
PO000125,2026-01-06,S015,E201,2026-01-26,2026-01-26,USD,25205.2348,Net 30,CIF,Received
PO000126,2026-01-06,S015,E201,2026-01-28,2026-01-28,USD,25205.2348,Net 30,CIF,Received
PO000127,2026-01-06,S013,E201,2026-02-15,2026-02-15,USD,25205.2348,30% Deposit,FOB,Received
PO000128,2026-01-07,S003,E201,2026-01-16,2026-01-16,VND,1.0,Net 30,DAP,Received
PO000129,2026-01-15,S002,E201,2026-02-07,2026-02-07,USD,25225.9516,Net 45,CIF,Received
PO000130,2026-01-15,S001,E201,2026-02-12,2026-02-12,MYR,5781.4874,Net 30,CIF,Received
PO000131,2026-01-18,S003,E201,2026-01-23,2026-01-23,VND,1.0,Net 30,DAP,Received
PO000132,2026-01-18,S003,E201,2026-01-24,2026-01-24,VND,1.0,Net 30,DAP,Received
PO000133,2026-01-19,S002,E201,2026-02-08,2026-02-08,USD,25251.9068,Net 45,CIF,Received
PO000134,2026-01-19,S003,E201,2026-01-31,2026-01-31,VND,1.0,Net 30,DAP,Received
PO000135,2026-01-20,S001,E201,2026-02-13,2026-02-16,MYR,5781.8278,Net 30,CIF,Received
PO000136,2026-01-28,S007,E201,2026-03-14,2026-03-14,USD,25358.3789,30% Deposit,FOB,Received
PO000137,2026-01-29,S003,E201,2026-02-06,2026-02-07,VND,1.0,Net 30,DAP,Received
PO000138,2026-01-29,S003,E201,2026-02-04,2026-02-04,VND,1.0,Net 30,DAP,Received
PO000139,2026-01-29,S007,E201,2026-03-14,2026-03-14,USD,25363.7283,30% Deposit,FOB,Received
PO000140,2026-01-29,S007,E201,2026-03-09,2026-03-24,USD,25363.7283,30% Deposit,FOB,Received
PO000141,2026-02-02,S006,E201,2026-02-28,2026-03-01,USD,25389.9413,Net 30,FOB,Received
PO000142,2026-02-11,S016,E201,2026-02-21,2026-02-21,VND,1.0,COD,DAP,Received
PO000143,2026-02-11,S006,E201,2026-03-09,2026-03-09,USD,25439.8389,Net 30,FOB,Received
PO000144,2026-02-19,S014,E201,2026-02-27,2026-02-27,VND,1.0,Net 30,DAP,Received
PO000145,2026-02-19,S014,E201,2026-02-26,2026-02-26,VND,1.0,Net 30,DAP,Received
PO000146,2026-02-21,S002,E201,2026-03-13,2026-03-14,USD,25446.5538,Net 45,CIF,Received
PO000147,2026-02-21,S003,E201,2026-03-05,2026-03-09,VND,1.0,Net 30,DAP,Received
PO000148,2026-02-24,S003,E201,2026-03-04,2026-03-04,VND,1.0,Net 30,DAP,Received
PO000149,2026-02-26,S002,E201,2026-03-18,2026-03-18,USD,25405.7934,Net 45,CIF,Received
PO000150,2026-02-26,S003,E201,2026-03-07,2026-03-07,VND,1.0,Net 30,DAP,Received
PO000151,2026-02-26,S002,E201,2026-03-23,2026-03-23,USD,25405.7934,Net 45,CIF,Received
PO000152,2026-03-07,S003,E201,2026-03-19,2026-03-19,VND,1.0,Net 30,DAP,Received
PO000153,2026-03-08,S013,E201,2026-04-17,2026-04-24,USD,25405.4072,30% Deposit,FOB,Received
PO000154,2026-03-11,S003,E201,2026-03-19,2026-03-19,VND,1.0,Net 30,DAP,Received
PO000155,2026-03-12,S003,E201,2026-03-21,2026-03-23,VND,1.0,Net 30,DAP,Received
PO000156,2026-03-13,S016,E201,2026-03-23,2026-03-23,VND,1.0,COD,DAP,Received
PO000157,2026-03-18,S002,E201,2026-04-07,2026-04-09,USD,25436.1233,Net 45,CIF,Received
PO000158,2026-03-20,S003,E201,2026-04-01,2026-04-01,VND,1.0,Net 30,DAP,Received
PO000159,2026-03-25,S002,E201,2026-04-14,2026-04-14,USD,25438.3751,Net 45,CIF,Received
PO000160,2026-04-01,S014,E201,2026-04-08,2026-04-08,VND,1.0,Net 30,DAP,Received
