sales_order_line_id,sales_order_id,product_id,quantity_ordered,unit_price_vnd,unit_cost_vnd,discount_pct,promised_delivery_date,line_status,quantity_shipped_to_date
SOL0000001,SO000001,P001,29,545500.0,461500.0,0.1292,2025-02-25,Delivered,29
SOL0000002,SO000001,P002,6,430500.0,324800.0,0.0717,2025-02-25,Delivered,6
SOL0000003,SO000001,P003,14,432500.0,324800.0,0.0676,2025-02-25,Delivered,14
SOL0000004,SO000001,P005,13,578300.0,474700.0,0.0527,2025-02-25,Delivered,13
SOL0000005,SO000002,P002,11,430900.0,327200.0,0.0955,2025-03-08,Delivered,11
SOL0000006,SO000003,P024,20,4675300.0,3647500.0,0.0,2025-03-16,Delivered,20
SOL0000007,SO000004,P001,90,594600.0,463800.0,0.0711,2025-05-08,Delivered,90
SOL0000008,SO000005,P001,20,573000.0,486300.0,0.0311,2025-05-22,Delivered,20
SOL0000009,SO000006,P007,35,164000.0,122400.0,0.0894,2025-06-01,Delivered,35
SOL0000010,SO000007,P006,9,557500.0,449000.0,0.038,2025-06-13,Delivered,9
SOL0000011,SO000007,P001,50,599000.0,482100.0,0.0691,2025-06-13,Delivered,50
SOL0000012,SO000007,P004,24,686700.0,480200.0,0.0414,2025-06-13,Delivered,24
SOL0000013,SO000008,P024,28,4797400.0,3609800.0,0.0431,2025-07-30,Delivered,28
SOL0000014,SO000008,P023,10,3453400.0,2570600.0,0.1158,2025-07-30,Delivered,10
SOL0000015,SO000009,P022,4,2358000.0,1677300.0,0.0328,2025-10-19,Delivered,4
SOL0000016,SO000010,P006,45,578800.0,443600.0,0.0032,2025-11-30,Delivered,45
SOL0000017,SO000011,P004,15,706100.0,460300.0,0.0881,2026-01-07,Delivered,15
SOL0000018,SO000011,P001,8,596500.0,480700.0,0.0575,2026-01-07,Delivered,8
SOL0000019,SO000012,P002,41,454700.0,312300.0,0.0298,2026-04-30,Delivered,41
SOL0000020,SO000012,P004,51,661900.0,472200.0,0.027,2026-04-30,Delivered,51
SOL0000021,SO000012,P005,13,606800.0,462700.0,0.0991,2026-04-30,Delivered,13
SOL0000022,SO000013,P001,55,600600.0,478200.0,0.0886,2026-04-28,Delivered,55
SOL0000023,SO000014,P001,7,581500.0,480400.0,0.0418,2026-05-02,Delivered,7
SOL0000024,SO000014,P002,25,437800.0,315500.0,0.0,2026-05-02,Delivered,25
SOL0000025,SO000014,P003,63,422200.0,306600.0,0.0565,2026-05-02,Delivered,63
SOL0000026,SO000015,P001,26,576500.0,471200.0,0.0331,2026-06-01,Delivered,26
SOL0000027,SO000015,P002,34,427500.0,309400.0,0.0804,2026-06-01,Delivered,34
SOL0000028,SO000015,P006,36,557300.0,427900.0,0.0282,2026-06-01,Delivered,36
SOL0000029,SO000016,P005,41,597900.0,475900.0,0.0534,2026-06-03,Delivered,41
SOL0000030,SO000017,P020,165,396600.0,266000.0,0.0637,2026-06-26,Delivered,165
SOL0000031,SO000018,P006,25,535000.0,456600.0,0.1178,2026-07-03,Delivered,25
SOL0000032,SO000018,P005,10,593900.0,470200.0,0.1204,2026-07-03,Delivered,10
SOL0000033,SO000018,P004,13,720300.0,473200.0,0.1378,2026-07-03,Delivered,13
SOL0000034,SO000019,P005,12,619300.0,453300.0,0.0824,2026-07-09,Delivered,12
SOL0000035,SO000019,P004,14,715200.0,469300.0,0.0712,2026-07-09,Delivered,14
SOL0000036,SO000020,P003,13,433900.0,313300.0,0.0263,2026-07-16,Delivered,13
SOL0000037,SO000021,P002,41,444200.0,328400.0,0.0837,2025-06-26,Delivered,41
SOL0000038,SO000021,P005,12,601400.0,460100.0,0.0552,2025-06-26,Delivered,12
SOL0000039,SO000021,P006,11,535800.0,431100.0,0.1274,2025-06-26,Delivered,11
SOL0000040,SO000021,P003,27,423700.0,310800.0,0.0154,2025-06-26,Delivered,27
SOL0000041,SO000022,P001,15,620600.0,468800.0,0.0944,2025-06-10,Delivered,15
SOL0000042,SO000023,P011,153,297100.0,204700.0,0.0948,2025-07-03,Delivered,153
SOL0000043,SO000023,P007,51,173800.0,120500.0,0.0744,2025-07-03,Delivered,51
SOL0000044,SO000024,P001,16,586000.0,462100.0,0.0667,2025-08-08,Delivered,16
SOL0000045,SO000024,P006,19,533700.0,432200.0,0.011,2025-08-08,Delivered,19
SOL0000046,SO000024,P005,44,580900.0,462700.0,0.065,2025-08-08,Delivered,44
SOL0000047,SO000025,P004,8,664400.0,458000.0,0.0112,2025-08-13,Delivered,8
SOL0000048,SO000025,P003,12,433800.0,310900.0,0.0688,2025-08-13,Delivered,12
SOL0000049,SO000026,P004,25,711800.0,476700.0,0.0739,2025-09-12,Delivered,25
SOL0000050,SO000027,P002,8,426200.0,312500.0,0.0322,2025-10-14,Delivered,8
SOL0000051,SO000028,P001,16,587900.0,471200.0,0.0124,2025-10-13,Delivered,16
