sales_order_id,quotation_id,lead_id,customer_id,order_date_raw,requested_delivery_date,salesperson_id,payment_term,order_status,order_type,currency,fx_rate_to_vnd
SO000001,Q000003,L000001,C0053,2025-01-26,2025-02-25,E101,Net 45,Delivered,New,VND,1.0
SO000002,Q000006,L000004,C0034,2025-02-06,2025-03-08,E103,Net 30,Delivered,New,USD,25558.1923
SO000003,Q000010,L000013,C0002,2025-03-09,2025-03-16,E101,Net 60,Delivered,New,USD,25627.0164
SO000004,Q000014,L000026,C0012,2025-04-17,2025-05-08,E101,Net 30,Delivered,New,VND,1.0
SO000005,Q000015,L000027,C0078,2025-05-01,2025-05-22,E103,Net 30,Delivered,New,USD,25473.8825
SO000006,Q000018,L000031,C0014,2025-05-11,2025-06-01,E102,Net 30,Delivered,New,VND,1.0
SO000007,Q000019,L000032,C0017,2025-05-14,2025-06-13,E103,COD,Delivered,New,VND,1.0
SO000008,Q000024,L000044,C0102,2025-07-16,2025-07-30,E103,Net 30,Delivered,New,USD,25304.9075
SO000009,Q000027,L000051,C0104,2025-09-28,2025-10-19,E103,Net 30,Delivered,New,VND,1.0
SO000010,Q000029,L000053,C0002,2025-10-16,2025-11-30,E102,Net 60,Delivered,New,VND,1.0
SO000011,Q000038,L000079,C0029,2025-12-24,2026-01-07,E101,Net 30,Delivered,New,VND,1.0
SO000012,Q000043,L000091,C0106,2026-03-16,2026-04-30,E102,Net 30,Delivered,New,VND,1.0
SO000013,Q000044,L000096,C0176,2026-04-07,2026-04-28,E101,Net 60,Delivered,New,USD,25449.6574
SO000014,Q000045,L000100,C0002,2026-04-25,2026-05-02,E103,Net 60,Delivered,New,VND,1.0
SO000015,Q000046,L000102,C0044,2026-05-11,2026-06-01,E103,Net 30,Delivered,New,VND,1.0
SO000016,Q000047,L000104,C0054,2026-05-20,2026-06-03,E103,Net 30,Delivered,New,VND,1.0
SO000017,Q000049,L000109,C0103,2026-06-05,2026-06-26,E102,Net 30,Delivered,New,VND,1.0
SO000018,Q000052,L000113,C0075,2026-06-19,2026-07-03,E101,Net 30,Delivered,New,VND,1.0
SO000019,Q000053,L000114,C0171,2026-06-09,2026-07-09,E102,Net 30,Delivered,New,USD,25575.6444
