shipment_line_id,shipment_id,sales_order_line_id,product_id,quantity_shipped
SHL0000001,SH000001,SOL0000002,P002,6
SHL0000002,SH000001,SOL0000003,P003,14
SHL0000003,SH000001,SOL0000004,P005,13
SHL0000004,SH000002,SOL0000001,P001,29
SHL0000005,SH000003,SOL0000109,P011,18
SHL0000006,SH000004,SOL0000005,P002,11
SHL0000007,SH000005,SOL0000113,P002,61
SHL0000008,SH000006,SOL0000006,P024,10
SHL0000009,SH000007,SOL0000179,P001,24
SHL0000010,SH000008,SOL0000110,P005,5
SHL0000011,SH000008,SOL0000111,P003,22
SHL0000012,SH000009,SOL0000112,P004,4
SHL0000013,SH000010,SOL0000153,P022,6
SHL0000014,SH000011,SOL0000178,P004,8
SHL0000015,SH000012,SOL0000235,P004,42
SHL0000016,SH000012,SOL0000236,P006,6
SHL0000017,SH000013,SOL0000152,P002,28
SHL0000018,SH000014,SOL0000213,P011,30
SHL0000019,SH000015,SOL0000007,P001,90
SHL0000020,SH000016,SOL0000213,P011,75
SHL0000021,SH000017,SOL0000006,P024,10
SHL0000022,SH000018,SOL0000008,P001,20
SHL0000023,SH000019,SOL0000153,P022,3
SHL0000024,SH000020,SOL0000009,P007,35
SHL0000025,SH000021,SOL0000186,P019,8
SHL0000026,SH000022,SOL0000084,P006,13
SHL0000027,SH000022,SOL0000085,P005,9
SHL0000028,SH000023,SOL0000086,P004,51
SHL0000029,SH000024,SOL0000041,P001,15
SHL0000030,SH000025,SOL0000083,P001,21
SHL0000031,SH000026,SOL0000010,P006,9
SHL0000032,SH000026,SOL0000011,P001,50
SHL0000033,SH000027,SOL0000137,P018,44
SHL0000034,SH000028,SOL0000203,P003,48
SHL0000035,SH000029,SOL0000186,P019,8
SHL0000036,SH000030,SOL0000253,P013,12
SHL0000037,SH000030,SOL0000254,P016,18
SHL0000038,SH000030,SOL0000255,P015,9
SHL0000039,SH000030,SOL0000256,P014,15
SHL0000040,SH000031,SOL0000137,P018,11
SHL0000041,SH000032,SOL0000214,P001,17
SHL0000042,SH000033,SOL0000215,P003,16
SHL0000043,SH000034,SOL0000139,P005,7
SHL0000044,SH000035,SOL0000190,P001,36
SHL0000045,SH000035,SOL0000191,P005,14
SHL0000046,SH000035,SOL0000193,P002,61
SHL0000047,SH000036,SOL0000037,P002,6
SHL0000048,SH000036,SOL0000039,P006,11
SHL0000049,SH000037,SOL0000038,P005,12
SHL0000050,SH000038,SOL0000040,P003,27
SHL0000051,SH000039,SOL0000140,P023,6
SHL0000052,SH000040,SOL0000254,P016,18
SHL0000053,SH000041,SOL0000086,P004,54
SHL0000054,SH000042,SOL0000012,P004,24
SHL0000055,SH000043,SOL0000204,P004,10
SHL0000056,SH000044,SOL0000255,P015,3
SHL0000057,SH000045,SOL0000138,P004,8
SHL0000058,SH000046,SOL0000192,P004,9
SHL0000059,SH000047,SOL0000256,P014,16
SHL0000060,SH000048,SOL0000253,P013,49
SHL0000061,SH000049,SOL0000190,P001,17
SHL0000062,SH000050,SOL0000042,P011,37
SHL0000063,SH000050,SOL0000043,P007,30
SHL0000064,SH000051,SOL0000141,P021,28
SHL0000065,SH000051,SOL0000142,P017,43
SHL0000066,SH000051,SOL0000143,P018,31
SHL0000067,SH000052,SOL0000192,P004,6
SHL0000068,SH000053,SOL0000042,P011,116
SHL0000069,SH000054,SOL0000037,P002,35
SHL0000070,SH000055,SOL0000237,P001,17
SHL0000071,SH000056,SOL0000043,P007,21
SHL0000072,SH000057,SOL0000089,P014,14
SHL0000073,SH000058,SOL0000013,P024,10
SHL0000074,SH000059,SOL0000141,P021,152
SHL0000075,SH000060,SOL0000088,P021,28
SHL0000076,SH000061,SOL0000143,P018,24
SHL0000077,SH000062,SOL0000087,P018,32
SHL0000078,SH000063,SOL0000154,P009,27
SHL0000079,SH000063,SOL0000155,P011,16
SHL0000080,SH000064,SOL0000216,P001,9
SHL0000081,SH000065,SOL0000114,P026,3
SHL0000082,SH000066,SOL0000044,P001,16
SHL0000083,SH000066,SOL0000045,P006,19
SHL0000084,SH000066,SOL0000046,P005,42
SHL0000085,SH000067,SOL0000140,P023,4
SHL0000086,SH000068,SOL0000089,P014,5
SHL0000087,SH000069,SOL0000014,P023,6
SHL0000088,SH000070,SOL0000047,P004,8
SHL0000089,SH000071,SOL0000205,P027,5
SHL0000090,SH000072,SOL0000048,P003,12
SHL0000091,SH000073,SOL0000091,P010,30
SHL0000092,SH000074,SOL0000046,P005,2
SHL0000093,SH000075,SOL0000187,P025,4
SHL0000094,SH000076,SOL0000188,P022,5
SHL0000095,SH000077,SOL0000087,P018,27
SHL0000096,SH000078,SOL0000154,P009,6
SHL0000097,SH000079,SOL0000090,P009,23
SHL0000098,SH000080,SOL0000194,P009,1
SHL0000099,SH000081,SOL0000195,P008,18
SHL0000100,SH000082,SOL0000115,P011,36
SHL0000101,SH000083,SOL0000185,P001,48
SHL0000102,SH000084,SOL0000088,P021,38
SHL0000103,SH000085,SOL0000116,P008,14
SHL0000104,SH000086,SOL0000114,P026,4
SHL0000105,SH000087,SOL0000194,P009,24
SHL0000106,SH000088,SOL0000115,P011,28
SHL0000107,SH000089,SOL0000194,P009,8
SHL0000108,SH000090,SOL0000196,P005,7
SHL0000109,SH000091,SOL0000013,P024,18
SHL0000110,SH000092,SOL0000187,P025,32
SHL0000111,SH000093,SOL0000049,P004,25
SHL0000112,SH000094,SOL0000014,P023,4
SHL0000113,SH000095,SOL0000206,P023,6
SHL0000114,SH000096,SOL0000114,P026,22
SHL0000115,SH000097,SOL0000091,P010,52
SHL0000116,SH000098,SOL0000117,P010,26
SHL0000117,SH000099,SOL0000285,P005,7
SHL0000118,SH000100,SOL0000157,P002,10
SHL0000119,SH000100,SOL0000158,P004,15
SHL0000120,SH000101,SOL0000156,P003,32
SHL0000121,SH000102,SOL0000205,P027,5
SHL0000122,SH000103,SOL0000116,P008,138
SHL0000123,SH000104,SOL0000206,P023,7
SHL0000124,SH000105,SOL0000094,P016,14
SHL0000125,SH000105,SOL0000095,P013,16
SHL0000126,SH000106,SOL0000238,P001,11
SHL0000127,SH000106,SOL0000239,P002,5
SHL0000128,SH000107,SOL0000092,P015,9
SHL0000129,SH000107,SOL0000093,P014,13
SHL0000130,SH000108,SOL0000224,P001,29
SHL0000131,SH000109,SOL0000188,P022,10
SHL0000132,SH000110,SOL0000123,P032,4
SHL0000133,SH000111,SOL0000207,P001,33
SHL0000134,SH000112,SOL0000051,P001,16
SHL0000135,SH000112,SOL0000052,P006,22
SHL0000136,SH000113,SOL0000050,P002,8
SHL0000137,SH000114,SOL0000095,P013,70
SHL0000138,SH000115,SOL0000092,P015,2
SHL0000139,SH000116,SOL0000093,P014,28
SHL0000140,SH000117,SOL0000015,P022,4
SHL0000141,SH000118,SOL0000118,P025,3
SHL0000142,SH000118,SOL0000119,P027,5
SHL0000143,SH000118,SOL0000120,P022,2
SHL0000144,SH000118,SOL0000121,P023,8
SHL0000145,SH000119,SOL0000199,P003,16
SHL0000146,SH000120,SOL0000197,P005,20
SHL0000147,SH000120,SOL0000198,P002,27
SHL0000148,SH000121,SOL0000200,P001,5
SHL0000149,SH000122,SOL0000117,P010,81
SHL0000150,SH000123,SOL0000161,P009,24
SHL0000151,SH000124,SOL0000094,P016,23
SHL0000152,SH000125,SOL0000053,P003,13
SHL0000153,SH000126,SOL0000122,P024,10
SHL0000154,SH000127,SOL0000258,P014,16
SHL0000155,SH000127,SOL0000259,P015,10
SHL0000156,SH000128,SOL0000257,P012,26
SHL0000157,SH000129,SOL0000097,P006,9
SHL0000158,SH000130,SOL0000096,P001,27
SHL0000159,SH000131,SOL0000159,P006,25
SHL0000160,SH000131,SOL0000160,P005,14
SHL0000161,SH000132,SOL0000259,P015,5
SHL0000162,SH000133,SOL0000180,P001,22
SHL0000163,SH000134,SOL0000258,P014,43
SHL0000164,SH000135,SOL0000161,P009,21
SHL0000165,SH000136,SOL0000146,P001,12
SHL0000166,SH000137,SOL0000145,P005,17
SHL0000167,SH000137,SOL0000147,P006,6
SHL0000168,SH000138,SOL0000162,P009,24
SHL0000169,SH000139,SOL0000163,P011,16
SHL0000170,SH000140,SOL0000286,P005,8
SHL0000171,SH000141,SOL0000144,P001,10
SHL0000172,SH000142,SOL0000098,P001,52
SHL0000173,SH000143,SOL0000099,P003,28
SHL0000174,SH000144,SOL0000119,P027,27
SHL0000175,SH000145,SOL0000016,P006,14
SHL0000176,SH000146,SOL0000240,P001,23
SHL0000177,SH000146,SOL0000242,P005,34
SHL0000178,SH000146,SOL0000243,P002,25
SHL0000179,SH000147,SOL0000120,P022,3
SHL0000180,SH000148,SOL0000257,P012,48
SHL0000181,SH000149,SOL0000121,P023,5
SHL0000182,SH000150,SOL0000016,P006,31
SHL0000183,SH000151,SOL0000241,P006,23
SHL0000184,SH000152,SOL0000120,P022,5
SHL0000185,SH000153,SOL0000280,P001,11
SHL0000186,SH000154,SOL0000279,P002,4
SHL0000187,SH000155,SOL0000208,P015,9
SHL0000188,SH000155,SOL0000209,P016,17
SHL0000189,SH000156,SOL0000162,P009,78
SHL0000190,SH000157,SOL0000201,P001,6
SHL0000191,SH000158,SOL0000202,P004,51
SHL0000192,SH000159,SOL0000242,P005,5
SHL0000193,SH000160,SOL0000288,P009,24
SHL0000194,SH000161,SOL0000291,P001,43
SHL0000195,SH000162,SOL0000122,P024,7
SHL0000196,SH000163,SOL0000148,P024,8
SHL0000197,SH000164,SOL0000288,P009,17
SHL0000198,SH000165,SOL0000208,P015,16
SHL0000199,SH000166,SOL0000149,P001,10
SHL0000200,SH000167,SOL0000054,P019,7
SHL0000201,SH000168,SOL0000055,P017,32
SHL0000202,SH000169,SOL0000167,P020,22
SHL0000203,SH000170,SOL0000209,P016,24
SHL0000204,SH000171,SOL0000166,P021,27
SHL0000205,SH000172,SOL0000244,P007,31
SHL0000206,SH000173,SOL0000217,P012,27
SHL0000207,SH000174,SOL0000165,P018,33
SHL0000208,SH000175,SOL0000202,P004,119
SHL0000209,SH000176,SOL0000055,P017,90
SHL0000210,SH000177,SOL0000164,P004,21
SHL0000211,SH000178,SOL0000017,P004,15
SHL0000212,SH000178,SOL0000018,P001,8
SHL0000213,SH000179,SOL0000056,P005,18
SHL0000214,SH000180,SOL0000225,P009,20
SHL0000215,SH000180,SOL0000226,P010,25
SHL0000216,SH000180,SOL0000227,P008,30
SHL0000217,SH000181,SOL0000228,P011,15
SHL0000218,SH000182,SOL0000165,P018,81
SHL0000219,SH000183,SOL0000167,P020,87
SHL0000220,SH000184,SOL0000244,P007,25
SHL0000221,SH000185,SOL0000217,P012,20
SHL0000222,SH000186,SOL0000229,P001,35
SHL0000223,SH000186,SOL0000231,P006,54
SHL0000224,SH000187,SOL0000230,P003,11
SHL0000225,SH000188,SOL0000100,P002,14
SHL0000226,SH000189,SOL0000059,P003,20
SHL0000227,SH000189,SOL0000060,P002,23
SHL0000228,SH000190,SOL0000057,P004,35
SHL0000229,SH000191,SOL0000058,P001,16
SHL0000230,SH000192,SOL0000231,P006,19
SHL0000231,SH000193,SOL0000227,P008,121
SHL0000232,SH000194,SOL0000295,P022,3
SHL0000233,SH000195,SOL0000102,P023,5
SHL0000234,SH000196,SOL0000103,P027,6
SHL0000235,SH000197,SOL0000181,P001,40
SHL0000236,SH000198,SOL0000148,P024,10
SHL0000237,SH000199,SOL0000295,P022,2
SHL0000238,SH000200,SOL0000166,P021,3
SHL0000239,SH000201,SOL0000054,P019,22
SHL0000240,SH000202,SOL0000168,P002,12
SHL0000241,SH000203,SOL0000231,P006,4
SHL0000242,SH000204,SOL0000101,P006,11
SHL0000243,SH000205,SOL0000181,P001,23
SHL0000244,SH000206,SOL0000276,P001,20
SHL0000245,SH000207,SOL0000218,P018,31
SHL0000246,SH000207,SOL0000219,P017,32
SHL0000247,SH000208,SOL0000101,P006,9
SHL0000248,SH000209,SOL0000182,P006,15
SHL0000249,SH000210,SOL0000226,P010,71
SHL0000250,SH000211,SOL0000304,P016,16
SHL0000251,SH000211,SOL0000305,P015,11
SHL0000252,SH000212,SOL0000219,P017,37
SHL0000253,SH000213,SOL0000245,P002,18
SHL0000254,SH000213,SOL0000246,P003,56
SHL0000255,SH000214,SOL0000293,P001,16
SHL0000256,SH000215,SOL0000304,P016,39
SHL0000257,SH000216,SOL0000247,P006,46
SHL0000258,SH000216,SOL0000248,P005,39
SHL0000259,SH000216,SOL0000249,P002,30
SHL0000260,SH000217,SOL0000305,P015,19
SHL0000261,SH000218,SOL0000189,P003,9
SHL0000262,SH000219,SOL0000248,P005,6
SHL0000263,SH000220,SOL0000150,P005,8
SHL0000264,SH000221,SOL0000169,P010,21
SHL0000265,SH000222,SOL0000218,P018,12
SHL0000266,SH000223,SOL0000151,P003,38
SHL0000267,SH000224,SOL0000210,P001,39
SHL0000268,SH000225,SOL0000211,P003,12
SHL0000269,SH000226,SOL0000062,P005,24
SHL0000270,SH000227,SOL0000307,P017,31
SHL0000271,SH000228,SOL0000102,P023,1
SHL0000272,SH000229,SOL0000249,P002,19
SHL0000273,SH000230,SOL0000061,P002,13
SHL0000274,SH000231,SOL0000281,P002,6
SHL0000275,SH000232,SOL0000273,P003,23
SHL0000276,SH000232,SOL0000274,P001,20
SHL0000277,SH000233,SOL0000220,P002,12
SHL0000278,SH000234,SOL0000307,P017,137
SHL0000279,SH000235,SOL0000103,P027,5
SHL0000280,SH000236,SOL0000287,P002,8
SHL0000281,SH000237,SOL0000124,P026,6
SHL0000282,SH000238,SOL0000302,P012,25
SHL0000283,SH000239,SOL0000290,P001,26
SHL0000284,SH000240,SOL0000302,P012,16
SHL0000285,SH000241,SOL0000125,P002,26
SHL0000286,SH000241,SOL0000126,P006,22
SHL0000287,SH000242,SOL0000303,P012,28
SHL0000288,SH000243,SOL0000125,P002,3
SHL0000289,SH000244,SOL0000063,P023,9
SHL0000290,SH000245,SOL0000065,P024,8
SHL0000291,SH000245,SOL0000066,P022,6
SHL0000292,SH000246,SOL0000303,P012,30
SHL0000293,SH000247,SOL0000212,P003,7
SHL0000294,SH000248,SOL0000296,P002,14
SHL0000295,SH000249,SOL0000169,P010,4
SHL0000296,SH000250,SOL0000289,P002,11
SHL0000297,SH000251,SOL0000022,P001,55
SHL0000298,SH000252,SOL0000251,P004,17
SHL0000299,SH000252,SOL0000252,P001,7
SHL0000300,SH000253,SOL0000306,P019,10
SHL0000301,SH000254,SOL0000250,P002,8
SHL0000302,SH000255,SOL0000250,P002,18
SHL0000303,SH000256,SOL0000021,P005,13
SHL0000304,SH000257,SOL0000020,P004,34
SHL0000305,SH000258,SOL0000023,P001,7
SHL0000306,SH000258,SOL0000025,P003,58
SHL0000307,SH000259,SOL0000250,P002,8
SHL0000308,SH000260,SOL0000019,P002,34
SHL0000309,SH000261,SOL0000306,P019,11
SHL0000310,SH000262,SOL0000067,P012,26
SHL0000311,SH000263,SOL0000283,P006,23
SHL0000312,SH000264,SOL0000025,P003,5
SHL0000313,SH000265,SOL0000068,P003,67
SHL0000314,SH000266,SOL0000127,P001,61
SHL0000315,SH000267,SOL0000124,P026,19
SHL0000316,SH000268,SOL0000064,P026,5
SHL0000317,SH000269,SOL0000067,P012,17
SHL0000318,SH000270,SOL0000301,P012,27
SHL0000319,SH000271,SOL0000019,P002,7
SHL0000320,SH000272,SOL0000024,P002,21
SHL0000321,SH000273,SOL0000068,P003,37
SHL0000322,SH000274,SOL0000064,P026,16
SHL0000323,SH000275,SOL0000063,P023,5
SHL0000324,SH000276,SOL0000065,P024,4
SHL0000325,SH000277,SOL0000301,P012,24
SHL0000326,SH000278,SOL0000183,P011,35
SHL0000327,SH000279,SOL0000020,P004,17
SHL0000328,SH000280,SOL0000024,P002,4
SHL0000329,SH000281,SOL0000297,P002,9
SHL0000330,SH000282,SOL0000282,P002,20
SHL0000331,SH000283,SOL0000066,P022,10
SHL0000332,SH000284,SOL0000071,P020,24
SHL0000333,SH000285,SOL0000069,P004,8
SHL0000334,SH000286,SOL0000170,P001,30
SHL0000335,SH000287,SOL0000271,P001,22
SHL0000336,SH000287,SOL0000272,P003,19
SHL0000337,SH000288,SOL0000183,P011,20
SHL0000338,SH000289,SOL0000070,P001,6
SHL0000339,SH000290,SOL0000027,P002,34
SHL0000340,SH000290,SOL0000028,P006,36
SHL0000341,SH000291,SOL0000026,P001,26
SHL0000342,SH000292,SOL0000171,P007,29
SHL0000343,SH000293,SOL0000029,P005,29
SHL0000344,SH000294,SOL0000074,P001,9
SHL0000345,SH000295,SOL0000072,P006,18
SHL0000346,SH000295,SOL0000073,P003,28
SHL0000347,SH000296,SOL0000072,P006,36
SHL0000348,SH000297,SOL0000029,P005,12
SHL0000349,SH000298,SOL0000300,P003,13
SHL0000350,SH000299,SOL0000171,P007,134
SHL0000351,SH000300,SOL0000030,P020,25
SHL0000352,SH000301,SOL0000072,P006,5
SHL0000353,SH000302,SOL0000299,P006,55
SHL0000354,SH000303,SOL0000076,P004,24
SHL0000355,SH000304,SOL0000075,P001,26
SHL0000356,SH000305,SOL0000299,P006,44
SHL0000357,SH000306,SOL0000032,P005,10
SHL0000358,SH000306,SOL0000033,P004,13
SHL0000359,SH000307,SOL0000031,P006,25
SHL0000360,SH000308,SOL0000221,P002,16
