map_id,product_id,supplier_id,supplier_role,effective_from,effective_to,currency,unit_cost_local,moq_qty,contract_lead_time_days,expected_defect_rate,freight_mode
MAP0001,P001,S003,Primary,2025-01-01,,VND,466161.0407,3,6,0.0071,Truck
MAP0002,P001,S003,Primary,2025-10-01,,VND,464057.7235,4,8,0.0075,Truck
MAP0003,P001,S003,Primary,2026-04-01,,VND,486850.5765,4,7,0.0089,Truck
MAP0004,P001,S002,Backup,2025-01-01,,USD,18.7059,3,20,0.009,Sea
MAP0005,P001,S002,Backup,2025-10-01,,USD,18.8831,3,23,0.0067,Sea
MAP0006,P001,S002,Backup,2026-04-01,,USD,19.8293,3,20,0.0075,Sea
MAP0007,P002,S002,Primary,2025-01-01,,USD,11.8239,8,25,0.0058,Sea
MAP0008,P002,S002,Primary,2025-10-01,,USD,12.2839,6,20,0.0083,Sea
MAP0009,P002,S002,Primary,2026-04-01,,USD,12.4336,7,21,0.006,Sea
MAP0010,P002,S001,Backup,2025-01-01,,MYR,52.3084,4,24,0.0119,Sea
MAP0011,P002,S001,Backup,2025-10-01,,MYR,54.0758,6,25,0.0144,Sea
MAP0012,P002,S001,Backup,2026-04-01,,MYR,53.6863,5,26,0.0102,Sea
MAP0013,P002,S003,Backup,2025-01-01,,VND,310718.5082,6,7,0.0089,Truck
MAP0014,P002,S003,Backup,2025-10-01,,VND,310229.8571,8,5,0.0088,Truck
MAP0015,P002,S003,Backup,2026-04-01,,VND,334460.1674,6,5,0.0114,Truck
MAP0016,P003,S003,Primary,2025-01-01,,VND,337566.0564,5,12,0.0118,Truck
MAP0017,P003,S003,Primary,2025-10-01,,VND,342178.2925,6,12,0.0125,Truck
MAP0018,P003,S003,Primary,2026-04-01,,VND,354940.1677,6,7,0.0093,Truck
MAP0019,P003,S001,Backup,2025-01-01,,MYR,58.2672,4,27,0.0115,Sea
MAP0020,P003,S001,Backup,2025-10-01,,MYR,60.5158,7,26,0.0104,Sea
MAP0021,P003,S001,Backup,2026-04-01,,MYR,62.8466,6,22,0.0146,Sea
